YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2009,CAMINO DEL SUR,F,,0.0,1,1200.0,,WOLFE AND ASSOCIATES,,,,
2009,DEL PLAYA,,HOUSE,3.0,3,7500.0,7500.0,Ben Roberts Properties,,P,,
2009,DEL PLAYA,"A, B",DUPLEX,2.0,2,3000.0,3000.0,Ben Roberts Properties,,N,,
2009,EMBARCADERO DEL MAR,8 UNITS,,,,,,,,,,
2009,PASADO,,DUPLEX,2.0,1,2800.0,2800.0,Ben Roberts Properties,,N,,
2009,PASADO,,DUPLEX,2.0,1,2800.0,2800.0,Ben Roberts Properties,,N,,
2009,SABADO TARDE,"1, 3",APT,2.0,2,3000.0,3000.0,Ben Roberts Properties,,N,,
2009,SABADO TARDE,2,APT,2.0,1.5,2000.0,2000.0,Ben Roberts Properties,,N,,
2009,SABADO TARDE,,HOUSE,3.0,2,4000.0,4000.0,Ben Roberts Properties,,N,,
2009,TRIGO,"A, B",DUPLEX,2.0,1,2800.0,2800.0,Ben Roberts Properties,,N,,
2009,TRIGO,1-4,APT,3.0,2,4000.0,4000.0,Ben Roberts Properties,,N,,
2009,TRIGO,,HOUSE,4.0,2.5,4500.0,4500.0,Ben Roberts Properties,,N,,
2019,DEL PLAYA,C,0,0.0,1,1500.0,1500.0,SFMVDM,2.0,N,N,Y
2019,DEL PLAYA,A,APT,3.0,2,4350.0,4350.0,SFMVDM,6.0,N,N,Y
2019,DEL PLAYA,B,APT,3.0,2,4500.0,4500.0,SFMVDM,6.0,N,N,Y
2019,DEL PLAYA,A,APT,2.0,1,3000.0,3000.0,SFMVDM,4.0,N,N,Y
2019,DEL PLAYA,B,APT,2.0,1,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2019,PARDALL,1-4,TOWNHOUSE,2.0,1.5,2700.0,2700.0,SFMVDM,4.0,N,N,Y
2019,PASADO,--,HOUSE,5.0,2,5300.0,5300.0,SFMVDM,7.0,N,,
2019,PICASSO,6,APT,1.0,1,1575.0,1575.0,SFMVDM,2.0,N,Y,Y
